title,date
download / purchase AWS class software,2016-09-03T00:00:00.000Z
take out trash,2016-09-01T00:00:00.000Z
pick up package / mail,2016-09-01T00:00:00.000Z
pick up package / mail,2016-08-31T00:00:00.000Z
set up quicksilver cc for erenterplan,2016-09-01T00:00:00.000Z
email deric about service fee for adding cc for ablon rent,2016-09-01T00:00:00.000Z
configure wifi for all devices,2016-08-30T00:00:00.000Z
email dad about car insurance,2016-08-29T00:00:00.000Z
update online payment card,2016-08-29T00:00:00.000Z
internet installation appointmet,2016-08-30T00:00:00.000Z
make spreadsheet of finance accounts and balances,2016-08-29T00:00:00.000Z
pay current coserv bill online,2016-08-29T00:00:00.000Z
update ntta,2016-08-29T00:00:00.000Z
switch c1 360 savings to c1 money market account,2017-04-28T00:00:00.000Z
change payment elections again,2016-08-29T00:00:00.000Z
update google addresses / cards / info,2016-08-29T00:00:00.000Z
update chrome autofill settings,2016-08-29T00:00:00.000Z
take out trash,2016-08-30T00:00:00.000Z
buy more food,2016-08-28T00:00:00.000Z
throw away food from fridge,2016-08-30T00:00:00.000Z
"organize amazon addresses, credit cards, subscriptions",2016-08-29T00:00:00.000Z
check mail,2016-08-28T00:00:00.000Z
buy more clotheshangers,2016-08-28T00:00:00.000Z
laundry,2016-08-27T00:00:00.000Z
trim toenails,2016-08-27T00:00:00.000Z
trim fingernails,2016-08-27T00:00:00.000Z
throw away boxes,2016-09-06T00:00:00.000Z
clean up shattered plastic,2016-08-30T00:00:00.000Z
clarify antidepressant refills with pharmacy,2016-08-28T00:00:00.000Z
pick up birth control,2016-08-28T00:00:00.000Z
put together couch,2016-08-25T00:00:00.000Z
pick up antidepressants,2016-08-21T00:00:00.000Z
add projects on linkedin,2016-08-19T00:00:00.000Z
finish constructing bed frame,2016-08-19T00:00:00.000Z
set up cvs pharmacy app,2016-08-18T00:00:00.000Z
drop off antidepressant prescription,2016-08-20T00:00:00.000Z
find antidepressant prescription,2016-08-18T00:00:00.000Z
make capital one quicksilver card default online payment,2016-08-29T00:00:00.000Z
wash dishes,2016-08-27T00:00:00.000Z
put away shoes,2016-08-18T00:00:00.000Z
pick up prescription from target pharmacy,2016-08-17T00:00:00.000Z
try to build shoe shelf,2016-08-16T00:00:00.000Z
trim nails,2016-08-16T00:00:00.000Z
doctor's appointment,2016-08-17T00:00:00.000Z
throw away more boxes,2016-08-16T00:00:00.000Z
wipe counters,2016-08-15T00:00:00.000Z
construct bed frame,2016-08-18T00:00:00.000Z
put away shoe shelf,2016-08-18T00:00:00.000Z
put items away,2016-08-15T00:00:00.000Z
make health appointment with C1,2016-08-16T00:00:00.000Z
look up c1 health center info / number,2016-08-15T00:00:00.000Z
increase credit limit for BoA credit card,2016-08-15T00:00:00.000Z
update daily life log,2016-08-15T00:00:00.000Z
update calendar,2016-08-15T00:00:00.000Z
create new savings / checking account with capital one,2016-08-19T00:00:00.000Z
make car maintanance appointment,2016-09-26T00:00:00.000Z
attend grace's tdp party,2016-08-12T00:00:00.000Z
hang up christmas lights,2016-08-21T00:00:00.000Z
buy chromecast,2016-08-11T00:00:00.000Z
get mail,2016-08-13T00:00:00.000Z
print car insurance,2016-08-30T00:00:00.000Z
pick up packages,2016-08-13T00:00:00.000Z
hang up more clothes,2016-08-27T00:00:00.000Z
buy more things,2016-08-14T00:00:00.000Z
organize apartment,2016-08-15T00:00:00.000Z
bring up suitcase of clothes from car,2016-08-06T00:00:00.000Z
set up fitbit scale,2016-08-11T00:00:00.000Z
set up coffee table,2016-08-05T00:00:00.000Z
obtain honda car title,2016-08-19T00:00:00.000Z
update calendar,2016-08-01T00:00:00.000Z
throw away some boxes,2016-08-15T00:00:00.000Z
create shopping list,2016-07-31T00:00:00.000Z
buy some house items,2016-08-06T00:00:00.000Z
update life data,2016-07-29T00:00:00.000Z
make sure rent payment went through,2016-08-01T00:00:00.000Z
unpack rest of casper items,2016-08-04T00:00:00.000Z
set up coffee table,2016-07-30T00:00:00.000Z
call grande to set up internet installation,2016-08-29T00:00:00.000Z
swiffer kitchen / entrance area,2016-08-18T00:00:00.000Z
swiffer closet,2016-07-30T00:00:00.000Z
clean vape,2016-07-26T00:00:00.000Z
swiffer room,2016-07-28T00:00:00.000Z
hang up more clothes,2016-07-30T00:00:00.000Z
hang up clothes,2016-07-26T00:00:00.000Z
get suitcase from boyfriend's house,2016-08-01T00:00:00.000Z
set up couch,2016-07-27T00:00:00.000Z
buy more clothes hangers,2016-07-27T00:00:00.000Z
take out trash,2016-07-28T00:00:00.000Z
buy shower curtain,2016-07-26T00:00:00.000Z
organize room,2016-07-26T00:00:00.000Z
find antidepressant prescription refill,2016-07-27T00:00:00.000Z
sign up for health/dental/vision insurance,2016-07-26T00:00:00.000Z
grande internet set-up appointment,2016-07-28T00:00:00.000Z
sign up for coserv account,2016-07-27T00:00:00.000Z
laundry,2016-07-26T00:00:00.000Z
buy clothes hangers,2016-07-26T00:00:00.000Z
sign lease addendum,2016-07-26T00:00:00.000Z
"call coserv for autopayment, ask to waive deposit",2016-08-29T00:00:00.000Z
set up rent autopayment,2016-07-26T00:00:00.000Z
buy weed,2016-07-24T00:00:00.000Z
update calendar,2016-07-26T00:00:00.000Z
set up hammock,2016-07-25T00:00:00.000Z
set up bed,2016-07-25T00:00:00.000Z
move to new unit,2016-07-24T00:00:00.000Z
move to new unit,2016-07-23T00:00:00.000Z
sign up for wifi,2016-07-26T00:00:00.000Z
change mailing address,2016-07-19T00:00:00.000Z
pick up birth control,2016-07-30T00:00:00.000Z
fill birth control prescription,2016-07-26T00:00:00.000Z
get toll tag,2016-07-20T00:00:00.000Z
"change mailing address for bank, etc.",2016-07-17T00:00:00.000Z
email deric about switching units,2016-07-17T00:00:00.000Z
email deric about coserv,2016-07-17T00:00:00.000Z
start new spreadsheet,2016-07-17T00:00:00.000Z
daily life log,2016-07-08T00:00:00.000Z
"print, sign, send repayment agreement",2016-07-09T00:00:00.000Z
set up global connect,2016-07-08T00:00:00.000Z
set up urban bound,2016-07-08T00:00:00.000Z
update daily life log,2016-07-05T00:00:00.000Z
email deric,2016-07-05T00:00:00.000Z
move things to car,2016-07-05T00:00:00.000Z
organize room a bit,2016-07-04T00:00:00.000Z
unpack / settle in,2016-07-04T00:00:00.000Z
shower,2016-07-04T00:00:00.000Z
poop,2016-07-04T00:00:00.000Z
poop,2016-07-05T00:00:00.000Z
clean / organize room,2016-07-05T00:00:00.000Z
buy couch,2016-07-24T00:00:00.000Z
buy bed,2016-07-17T00:00:00.000Z
pack electronics + medication,2016-07-06T00:00:00.000Z
pack bed stuff,2016-07-05T00:00:00.000Z
other emails,2016-07-05T00:00:00.000Z
capital one emails,2016-07-08T00:00:00.000Z
pack clothes,2016-07-05T00:00:00.000Z
laundry,2016-07-04T00:00:00.000Z
C1 - email attachments back,2016-06-19T00:00:00.000Z
calendar / log / administrivia,2016-06-18T00:00:00.000Z
collect dailyprogrammer challenges,2016-06-19T00:00:00.000Z
dispose of weed stuff,2016-06-17T00:00:00.000Z
C1 - tell mom how to book flight,2016-06-18T00:00:00.000Z
C1 - find picture for questionnaire ,2016-06-18T00:00:00.000Z
C1 - complete questionnaire,2016-06-19T00:00:00.000Z
laundry for china,2016-06-17T00:00:00.000Z
clean / organize room,2016-06-18T00:00:00.000Z
throw away trash in room,2016-06-16T00:00:00.000Z
acquire weed,2016-06-16T00:00:00.000Z
email ablon again,2016-06-15T00:00:00.000Z
email ablon again,2016-06-14T00:00:00.000Z
wear retainers,2016-06-15T00:00:00.000Z
hang out with rachel,2016-06-14T00:00:00.000Z
try to set up vpn,2016-06-18T00:00:00.000Z
make definite plans with rachel,2016-06-13T00:00:00.000Z
pick up prescription,2016-06-14T00:00:00.000Z
pick up smartwatch,2016-06-06T00:00:00.000Z
pay rice printing fee,2016-06-06T00:00:00.000Z
email ablon,2016-06-13T00:00:00.000Z
get cash,2016-06-02T00:00:00.000Z
research buying edibles,2016-06-02T00:00:00.000Z
orthodontist appointment,2016-06-15T00:00:00.000Z
acquire more weed,2016-06-02T00:00:00.000Z
call target pharmacy about birth control prescription pick up,2016-06-02T00:00:00.000Z
orthodontist appointment,2016-06-01T00:00:00.000Z
pick up birth control from target,2016-06-02T00:00:00.000Z
put outside activities in calendar,2016-05-27T00:00:00.000Z
fingerprint appointment,2016-06-02T00:00:00.000Z
schedule fingerprint date,2016-05-27T00:00:00.000Z
capital one background consent form,2016-05-27T00:00:00.000Z
orthodontist appointment,2016-05-31T00:00:00.000Z
shower,2016-05-26T00:00:00.000Z
poop,2016-05-26T00:00:00.000Z
poop,2016-05-25T00:00:00.000Z
