title,date
COMP 130 - grade homework 7,2016-03-28T00:00:00.000Z
ANTH 200 - do quiz 8,2016-03-31T00:00:00.000Z
ANTH 200 - do module 8,2016-03-31T00:00:00.000Z
ANTH 200 - review slides (3/29),2016-03-31T00:00:00.000Z
ToDo - email,2016-03-28T00:00:00.000Z
ToDo - calendar,2016-03-28T00:00:00.000Z
ToDo - log,2016-03-28T00:00:00.000Z
ToDo - arrive home,2016-03-28T00:00:00.000Z
ToDo - arrive in dallas,2016-03-24T00:00:00.000Z
COMP 427 - FINISH ASSIGNMENT 8,2016-03-30T00:00:00.000Z
STAT 450 - message jake about status update / tasks,2016-03-24T00:00:00.000Z
PHIL 334 - email professor and TA about outline feedback,2016-03-26T00:00:00.000Z
STAT 450 - write analysis code,2016-03-29T00:00:00.000Z
STAT 450 - in class presentation,2016-03-30T00:00:00.000Z
STAT 450 - write report 2,2016-03-30T00:00:00.000Z
PHIL 334 - write rough draft,2016-03-28T00:00:00.000Z
ToDo - log,2016-03-23T00:00:00.000Z
ToDo - calendar,2016-03-23T00:00:00.000Z
ToDo - emails,2016-03-23T00:00:00.000Z
PHIL 334 - email professor about leaving early,2016-03-23T00:00:00.000Z
ToDo - poop,2016-03-23T00:00:00.000Z
STAT 280 - grade homework 7,2016-03-22T00:00:00.000Z
ToDo - reply to Ann about Fellows applicants count,2016-03-22T00:00:00.000Z
ToDo - shower,2016-03-23T00:00:00.000Z
PHIL 334 - print readings,2016-03-22T00:00:00.000Z
COMP 427 - do assignment 7,2016-03-23T00:00:00.000Z
STAT 450 - finish running spls,2016-03-22T00:00:00.000Z
ToDo - finish laundry,2016-03-24T00:00:00.000Z
ToDo - start laundry,2016-03-23T00:00:00.000Z
ToDo - pack,2016-03-24T00:00:00.000Z
ToDo - calendar / log / emails,2016-03-22T00:00:00.000Z
PHIL 334 - write outline,2016-03-23T00:00:00.000Z
PHIL 334 - read william bernard and ground projects,2016-03-23T00:00:00.000Z
PHIL 334 - do reading questions,2016-03-21T00:00:00.000Z
ANTH 200 - review midterm,2016-03-21T00:00:00.000Z
ANTH 200 - review slides (3/24),2016-03-31T00:00:00.000Z
ANTH 200 - review slides (3/22),2016-03-31T00:00:00.000Z
PHIL 334 - email topic to professor,2016-03-21T00:00:00.000Z
COMP 130 - grade homework 6,2016-03-21T00:00:00.000Z
STAT 450 - run stuff / do work,2016-03-21T00:00:00.000Z
ToDo - log,2016-03-21T00:00:00.000Z
ToDo - emails,2016-03-21T00:00:00.000Z
ToDo- shower,2016-03-21T00:00:00.000Z
ToDo - poop,2016-03-21T00:00:00.000Z
ToDo - calendar,2016-03-21T00:00:00.000Z
ToDo - dinner with leo,2016-03-19T00:00:00.000Z
PHIL 334 - do reading questions,2016-03-17T00:00:00.000Z
ToDo - poop,2016-03-17T00:00:00.000Z
ToDo - dinner with eric and jonathan,2016-03-23T00:00:00.000Z
ANTH 200 - take final exam,2016-04-30T00:00:00.000Z
STAT 450 - work with jake,2016-03-22T00:00:00.000Z
ToDo - update / submit timesheets,2016-03-16T00:00:00.000Z
STAT 280 - grade homework 6,2016-03-16T00:00:00.000Z
COMP 130 - grade exam 1,2016-03-16T00:00:00.000Z
ToDo - emails,2016-03-16T00:00:00.000Z
PHIL 334 - paper workshop session #2,2016-03-29T00:00:00.000Z
PHIL 334 - essay dates and prep,2016-03-15T00:00:00.000Z
ToDo - shower,2016-03-16T00:00:00.000Z
ToDo - poop,2016-03-15T00:00:00.000Z
ToDo - set up smart watch again,2016-03-15T00:00:00.000Z
ToDo - set up smart watch,2016-03-14T00:00:00.000Z
ToDo - capital one commitment check email,2016-03-15T00:00:00.000Z
PHIL 334 - write up response to talk (Peter Railton),2016-03-21T00:00:00.000Z
PHIL 334 - attend bonus talk,2016-03-17T00:00:00.000Z
ANTH 200 - take midterm 2,2016-03-17T00:00:00.000Z
ANTH 200 - study for midterm,2016-03-16T00:00:00.000Z
ToDo - lunch with Hannah,2016-03-17T00:00:00.000Z
COMP 427 - do assignment 6,2016-03-16T00:00:00.000Z
ToDo -. exchange watch color,2016-03-15T00:00:00.000Z
ANTH 200 - go over slides (3/15),2016-03-16T00:00:00.000Z
ToDo - calendar,2016-03-14T00:00:00.000Z
ToDo - emails,2016-03-14T00:00:00.000Z
ToDo - log,2016-03-14T00:00:00.000Z
PHIL 334 - organize phil readings,2016-03-13T00:00:00.000Z
ToDo - emails,2016-03-13T00:00:00.000Z
ToDo - email shape about not accepting offer,2016-03-15T00:00:00.000Z
ToDo - calendar,2016-03-13T00:00:00.000Z
ToDo - log,2016-03-13T00:00:00.000Z
ToDo - capital one signature,2016-03-13T00:00:00.000Z
STAT 450 - work with jake,2016-03-19T00:00:00.000Z
STAT 280 - grade homework 5,2016-03-13T00:00:00.000Z
STAT 450 - status update with jake,2016-03-11T00:00:00.000Z
ToDo - log,2016-03-11T00:00:00.000Z
ToDo - emails,2016-03-11T00:00:00.000Z
ToDo - move antidepressant to plano target pharmacy,2016-03-10T00:00:00.000Z
ToDo - log,2016-03-09T00:00:00.000Z
ToDo - email,2016-03-09T00:00:00.000Z
ToDo - calendar,2016-03-11T00:00:00.000Z
ANTH 200 - go over slides (3/10),2016-03-13T00:00:00.000Z
ANTH 200 - go over slides (3/8),2016-03-13T00:00:00.000Z
ANTH 200 - take quiz 7,2016-03-11T00:00:00.000Z
ToDo - capital one reimbursements,2016-03-15T00:00:00.000Z
STAT 450 - meeting with genevera,2016-03-15T00:00:00.000Z
ToDo - make sure connecting flight is plausible,2016-03-04T00:00:00.000Z
ToDo - capital one reception,2016-03-03T00:00:00.000Z
ToDo - set up fitbit,2016-03-04T00:00:00.000Z
ToDo - calendar / log,2016-03-04T00:00:00.000Z
ToDo - calendar / emails / log,2016-03-03T00:00:00.000Z
ToDo - pack / get ready for richmond trip,2016-03-02T00:00:00.000Z
ToDo - pick up birth control,2016-03-09T00:00:00.000Z
ToDo - timesheets,2016-03-02T00:00:00.000Z
ToDo - calendar / log,2016-03-02T00:00:00.000Z
ToDo - capital one emails,2016-03-02T00:00:00.000Z
ToDo - fill out capital one post offer application,2016-03-02T00:00:00.000Z
ToDo - chores,2016-03-02T00:00:00.000Z
ToDo - apartment appointment,2016-03-02T00:00:00.000Z
ToDo - pay esther bill,2016-03-01T00:00:00.000Z
ToDo - phone call with jason (shape),2016-03-01T00:00:00.000Z
COMP 130 - grade midterm,2016-03-13T00:00:00.000Z
ToDo - email capital one offer acceptance,2016-03-01T00:00:00.000Z
ToDo - reply to messages,2016-03-01T00:00:00.000Z
ToDo - log,2016-03-01T00:00:00.000Z
ToDo - calendar,2016-03-01T00:00:00.000Z
ToDo - other emails,2016-03-01T00:00:00.000Z
"ToDo - print, sign, send capital one offer letter",2016-02-29T00:00:00.000Z
ToDo - email Jason (shape),2016-03-01T00:00:00.000Z
ToDo - CS Senior Banquet,2016-04-08T00:00:00.000Z
ToDo - email john (pros),2016-03-01T00:00:00.000Z
ToDo - email jason (shape) back,2016-02-27T00:00:00.000Z
ToDo - negotiate salary with capital one,2016-02-26T00:00:00.000Z
ToDo - book flight to capital one welcome weekend,2016-02-26T00:00:00.000Z
ToDo - emails / calendar / log,2016-02-26T00:00:00.000Z
ToDo - email hbk about application status,2016-02-26T00:00:00.000Z
ToDo - log / calendar / emails,2016-02-25T00:00:00.000Z
ToDo - pack / get ready,2016-02-25T00:00:00.000Z
ToDo - poop,2016-02-25T00:00:00.000Z
ToDo - shower,2016-02-25T00:00:00.000Z
COMP 130 - grade homework 3 python,2016-02-24T00:00:00.000Z
PHIL 334 - print readings,2016-02-24T00:00:00.000Z
ToDo - reset laptop / manage files,2016-02-23T00:00:00.000Z
ToDo - hang out with nicholas,2016-02-24T00:00:00.000Z
ToDo - reorganize life data spreadsheets,2016-02-23T00:00:00.000Z
COMP 130 - grade homework 5,2016-02-24T00:00:00.000Z
ToDo - emails,2016-02-23T00:00:00.000Z
ToDo - calendar / logs,2016-02-23T00:00:00.000Z
STAT 450 - write report 1,2016-02-23T00:00:00.000Z
ANTH 200 - take quiz 6,2016-02-26T00:00:00.000Z
ANTH 200 - go over slides (2/25),2016-03-13T00:00:00.000Z
ANTH 200 - go over slides (2/23),2016-03-13T00:00:00.000Z
STAT 450 - work with Jake,2016-02-23T00:00:00.000Z
COMP 427 - work on assignment 5,2016-02-24T00:00:00.000Z
ToDo - submit time sheet,2016-02-20T00:00:00.000Z
ToDo - pay esther bill,2016-02-20T00:00:00.000Z
STAT 450 - email fred questions about how to write code,2016-02-18T00:00:00.000Z
STAT 450 - in class presentation,2016-02-24T00:00:00.000Z
PHIL 334 - email professor about absences,2016-02-18T00:00:00.000Z
ToDo - email shape back,2016-02-18T00:00:00.000Z
ToDo - calendar / log,2016-02-18T00:00:00.000Z
ToDo - grocery shopping,2016-02-23T00:00:00.000Z
ToDo - withdraw application from bloomberg,2016-02-17T00:00:00.000Z
ToDo - phone call with parents,2016-02-17T00:00:00.000Z
ToDo - return shoes to express,2016-02-17T00:00:00.000Z
ToDo - shower,2016-02-17T00:00:00.000Z
ToDo - get gas,2016-02-17T00:00:00.000Z
ToDo - print capital one offer letter and info,2016-02-17T00:00:00.000Z
STAT 450 - write code to run new hopls,2016-02-19T00:00:00.000Z
ToDo - shower,2016-02-18T00:00:00.000Z
ToDo - go over capital one job offer,2016-02-17T00:00:00.000Z
STAT 450 - email fred about getting code,2016-02-17T00:00:00.000Z
ToDo - update timesheets,2016-02-16T00:00:00.000Z
STAT 280 - grade homework 4,2016-02-16T00:00:00.000Z
STAT 450 - find interesting journal article,2016-02-23T00:00:00.000Z
ToDo - waxing appointment,2016-02-17T00:00:00.000Z
ToDo - make waxing appointment,2016-02-16T00:00:00.000Z
ToDo - call capital one recruiter,2016-02-17T00:00:00.000Z
ToDo - fill out capital one reimbursement forms,2016-02-16T00:00:00.000Z
ToDo - gather capital one uber receipts,2016-02-16T00:00:00.000Z
ToDo - email capital one recruiter about missed calls,2016-02-16T00:00:00.000Z
ANTH 200 - print handouts,2016-02-16T00:00:00.000Z
ToDo - flight to Las Vegas,2016-02-18T00:00:00.000Z
ANTH 200 - take quiz 5,2016-02-18T00:00:00.000Z
ANTH 200 - do module 5,2016-02-18T00:00:00.000Z
ToDo - poop,2016-02-16T00:00:00.000Z
ToDo - interview with HBK,2016-02-17T00:00:00.000Z
STAT 450 - write svm code,2016-02-15T00:00:00.000Z
ANTH 200 - go over lecture slides (2/16),2016-02-16T00:00:00.000Z
ToDo - start laundry,2016-02-17T00:00:00.000Z
ToDo - pack / get ready for vegas,2016-02-18T00:00:00.000Z
PHIL 334 - print readings,2016-02-16T00:00:00.000Z
ToDo - capital one reimbursements,2016-02-16T00:00:00.000Z
COMP 130 - grade homework 4,2016-02-16T00:00:00.000Z
ToDo - emails / log / calendar,2016-02-15T00:00:00.000Z
PHIL 334 - do reading questions,2016-02-16T00:00:00.000Z
PHIL 334 - read achievements,2016-02-16T00:00:00.000Z
COMP 427 - finish homework 4,2016-02-16T00:00:00.000Z
COMP 427 - work on homework 4,2016-02-11T00:00:00.000Z
ToDo - google reimbursements,2016-02-11T00:00:00.000Z
ToDo - call about google reimbursements,2016-02-11T00:00:00.000Z
ToDo - shower,2016-02-11T00:00:00.000Z
ToDo - calendar / emails / log,2016-02-10T00:00:00.000Z
ToDo - shower,2016-02-10T00:00:00.000Z
ToDo - chores,2016-02-10T00:00:00.000Z
ToDo - make calls about cancelling capital one travel,2016-02-10T00:00:00.000Z
ANTH 200 - work on module 4,2016-02-09T00:00:00.000Z
ToDo - emails,2016-02-09T00:00:00.000Z
PHIL 334 - print achievement reading,2016-02-09T00:00:00.000Z
STAT 280 - grade homework 3,2016-02-09T00:00:00.000Z
ToDo - get business professional clothes,2016-02-10T00:00:00.000Z
ToDo - log / calendar,2016-02-08T00:00:00.000Z
ANTH 200 - take module 4 quiz,2016-02-11T00:00:00.000Z
ANTH 200 - review slides (2/11),2016-02-11T00:00:00.000Z
ANTH 200 - review slides (2/9),2016-02-09T00:00:00.000Z
ToDo - emails,2016-02-08T00:00:00.000Z
ToDo - email salesforce to cancel interview,2016-02-09T00:00:00.000Z
STAT 450 - email ecog group about absence in meeting,2016-02-09T00:00:00.000Z
ToDo - pick up pills,2016-02-08T00:00:00.000Z
ToDo - figure out way to stay in dallas,2016-02-08T00:00:00.000Z
PHIL 334 - read all readings,2016-02-07T00:00:00.000Z
COMP 130 - grade homework 3,2016-02-09T00:00:00.000Z
ToDo - dinner with hannah,2016-02-17T00:00:00.000Z
ToDo - reply to shape,2016-02-08T00:00:00.000Z
COMP 427 - email ta about hw 1 grades,2016-02-06T00:00:00.000Z
ToDo - emails,2016-02-05T00:00:00.000Z
ANTH 200 - review wrong answers on midterm,2016-02-05T00:00:00.000Z
ANTH 200 - review slides (2/4),2016-02-04T00:00:00.000Z
COMP 427 - finish homework 3,2016-02-09T00:00:00.000Z
STAT 450 - email about progress,2016-02-04T00:00:00.000Z
STAT 450 - 100 random samples of data,2016-02-04T00:00:00.000Z
ToDo - emails / calendar / log,2016-02-04T00:00:00.000Z
COMP 130 - email code to girl,2016-02-03T00:00:00.000Z
ToDo - call about google reimbursements,2016-02-04T00:00:00.000Z
ToDo - banking,2016-02-03T00:00:00.000Z
ToDo - get mail,2016-02-03T00:00:00.000Z
STAT 450 - meet with jake,2016-02-04T00:00:00.000Z
ToDo - fix bike,2016-02-03T00:00:00.000Z
STAT 450 - presentation,2016-02-03T00:00:00.000Z
COMP 130 - ta session,2016-02-03T00:00:00.000Z
ToDo - send tax forms to dad,2016-02-03T00:00:00.000Z
PHIL 334 - take midterm,2016-02-08T00:00:00.000Z
ToDo - emails / calendar / tasks / log,2016-02-03T00:00:00.000Z
ToDo - clean room,2016-02-03T00:00:00.000Z
STAT 450 - update slides,2016-02-02T00:00:00.000Z
PHIL 334 - prepare for midterm review,2016-02-04T00:00:00.000Z
ToDo - shower / shave,2016-02-04T00:00:00.000Z
ToDo - pack / get ready for dallas,2016-02-04T00:00:00.000Z
ToDo - timesheets,2016-02-02T00:00:00.000Z
STAT 280 - grade hw 2,2016-02-02T00:00:00.000Z
ToDo - flight to Houston,2016-02-15T00:00:00.000Z
ToDo - emails / tasks / calendar,2016-02-02T00:00:00.000Z
ToDo - shower,2016-02-02T00:00:00.000Z
ToDo - poop,2016-02-02T00:00:00.000Z
ToDo - plan travel to vegas,2016-02-02T00:00:00.000Z
ToDo - dinner with hannah,2016-02-03T00:00:00.000Z
ToDo - decide about career fair and weekend plans,2016-02-02T00:00:00.000Z
ToDo - buy shirt from cora,2016-02-03T00:00:00.000Z
STAT 450 - put results together before meeting,2016-02-02T00:00:00.000Z
STAT 450 - figure out how to get to NRI,2016-02-02T00:00:00.000Z
ToDo - psychiatric appointment,2016-04-07T00:00:00.000Z
ToDo - counseling session,2016-02-24T00:00:00.000Z
ToDo - shower,2016-02-01T00:00:00.000Z
ToDo - poop,2016-02-01T00:00:00.000Z
ANTH 200 - do extra credit survey,2016-02-01T00:00:00.000Z
ToDo - take computer to appointment,2016-02-03T00:00:00.000Z
STAT 450 - tell jake and guerra about absence on 2/10,2016-02-03T00:00:00.000Z
ToDo - emails / calendar / log,2016-02-01T00:00:00.000Z
ToDo - make apple store appointment,2016-02-01T00:00:00.000Z
ToDo - phone call with capital one recruiter,2016-02-01T00:00:00.000Z
ToDo - wash carpets,2016-01-31T00:00:00.000Z
ToDo - go to apple store,2016-02-01T00:00:00.000Z
ToDo - read capital one documents,2016-02-01T00:00:00.000Z
ToDo - book capital one interview travel plans,2016-02-01T00:00:00.000Z
ToDo - haircut appointment,2016-01-31T00:00:00.000Z
ToDo - study for capital one interview,2016-02-10T00:00:00.000Z
ToDo - submit timesheets,2016-02-05T00:00:00.000Z
PHIL 334 - reading questions,2016-01-31T00:00:00.000Z
PHIL 334 - readings,2016-01-31T00:00:00.000Z
ToDo - pump up bike,2016-01-31T00:00:00.000Z
STAT 450 - write email to genevera,2016-01-31T00:00:00.000Z
ToDo - make bed,2016-01-30T00:00:00.000Z
STAT 280 - grade hw 1,2016-01-31T00:00:00.000Z
COMP 130 - grade hw 2,2016-01-31T00:00:00.000Z
ToDo - put bike together for real,2016-01-31T00:00:00.000Z
ToDo - email rupd about parking tickets,2016-01-31T00:00:00.000Z
ToDo - laundry,2016-01-30T00:00:00.000Z
ToDo - calendar / log,2016-01-30T00:00:00.000Z
STAT 450 - create csv data for each node,2016-01-30T00:00:00.000Z
ToDo - shower,2016-01-30T00:00:00.000Z
ToDo - poop,2016-01-30T00:00:00.000Z
COMP 427 - work on / finish hw 2,2016-02-01T00:00:00.000Z
COMP 427 - start hw 2,2016-01-28T00:00:00.000Z
ToDo - chores,2016-01-28T00:00:00.000Z
ToDo - captial one email,2016-01-31T00:00:00.000Z
ToDo - poop,2016-01-28T00:00:00.000Z
ToDo - capital one on-site interview,2016-02-11T00:00:00.000Z
ToDo - read about hbk interviews,2016-01-28T00:00:00.000Z
ANTH 200 - take midterm,2016-02-02T00:00:00.000Z
COMP 130 - turn in spaf,2016-01-28T00:00:00.000Z
COMP 130 - ask greiner to sign spaf,2016-01-28T00:00:00.000Z
COMP 130 - print spaf,2016-01-28T00:00:00.000Z
ANTH 200 - read through midterm excerpt / listen to mp3,2016-02-01T00:00:00.000Z
ANTH 200 - study for midterm,2016-02-01T00:00:00.000Z
ANTH 200 - go to review session,2016-02-01T00:00:00.000Z
STAT 450 - work with Jake,2016-01-30T00:00:00.000Z
ToDo - amazon refund for facewash,2016-01-27T00:00:00.000Z
ToDo - hbk coding test,2016-01-28T00:00:00.000Z
STAT 450 - meet with Jake and Fred,2016-01-28T00:00:00.000Z
STAT 450 - work with jake,2016-01-27T00:00:00.000Z
STAT 450 - ecog lab meeting,2016-02-23T00:00:00.000Z
STAT 450 - ecog lab meeting,2016-02-16T00:00:00.000Z
STAT 450 - meeting with jake and genevera,2016-02-16T00:00:00.000Z
COMP 130 - email about cancelled office hours,2016-02-09T00:00:00.000Z
ToDo - counseling appointment,2016-02-01T00:00:00.000Z
ToDo - calendar / log / get shit together,2016-01-27T00:00:00.000Z
ToDo - buy lock,2016-01-26T00:00:00.000Z
PHIL 334 - ask magic to do OT2 questions,2016-01-26T00:00:00.000Z
ToDo - make counseling appointment,2016-01-27T00:00:00.000Z
PHIL 334 - print all readings,2016-01-27T00:00:00.000Z
ANTH 200 - read slides from 1/26,2016-01-28T00:00:00.000Z
ANTH 200 - do module 3,2016-01-28T00:00:00.000Z
"ToDo - start log of ""things i don't want to worry about anymore""",2016-01-26T00:00:00.000Z
ToDo - pick up antidepression prescription,2016-01-27T00:00:00.000Z
ToDo - psychiatric appointment,2016-02-01T00:00:00.000Z
ToDo - poop,2016-01-26T00:00:00.000Z
ToDo - shower,2016-01-26T00:00:00.000Z
COMP 130 - email deedra about time sheet,2016-01-26T00:00:00.000Z
COMP 130 - grade homework 1,2016-01-26T00:00:00.000Z
STAT 280 - grade homework 1,2016-01-27T00:00:00.000Z
PHIL 334 - turn in OT2 questions,2016-01-26T00:00:00.000Z
STAT 450 - set up documents,2016-01-26T00:00:00.000Z
STAT 450 - write project proposal,2016-01-26T00:00:00.000Z
STAT 450 - write first mentor meeting report,2016-01-26T00:00:00.000Z
ToDo - emails,2016-01-27T00:00:00.000Z
ToDo - calendar / log,2016-01-26T00:00:00.000Z
STAT 450 - log into server / explore,2016-01-22T00:00:00.000Z
PHIL 334 - turn in reading assignment 1 & 2,2016-01-26T00:00:00.000Z
ToDo - clean bong,2016-01-21T00:00:00.000Z
ToDo - poop,2016-01-21T00:00:00.000Z
PHIL 334 - study for midterm / create cheat sheet,2016-02-07T00:00:00.000Z
ANTH 200 - catch up on slides from this week,2016-01-21T00:00:00.000Z
ToDo - laundry,2016-01-21T00:00:00.000Z
ToDo - call capital one recruiter back,2016-01-28T00:00:00.000Z
COMP 427 - do assignment 1,2016-01-21T00:00:00.000Z
ToDo - shower,2016-01-21T00:00:00.000Z
PHIL 334 - tell teacher about missed assignments,2016-01-21T00:00:00.000Z
ToDo - calendar / log,2016-01-20T00:00:00.000Z
ToDo - wash bong / clean up,2016-01-20T00:00:00.000Z
STAT 450 - fill out forms,2016-01-19T00:00:00.000Z
ToDo - pick up packages,2016-01-20T00:00:00.000Z
ToDo - check mail,2016-01-19T00:00:00.000Z
PHIL 334 - do assignment 3,2016-01-21T00:00:00.000Z
PHIL 334 - do assignment 2,2016-01-21T00:00:00.000Z
PHIL 334 - do assignment 1,2016-01-21T00:00:00.000Z
PHIL 334 - go over syllabus,2016-01-21T00:00:00.000Z
ToDo - emails,2016-01-19T00:00:00.000Z
STAT 450 - work with Jake,2016-01-19T00:00:00.000Z
ToDo - lunch with Hannah,2016-01-21T00:00:00.000Z
ToDo - calendar / log,2016-01-19T00:00:00.000Z
PHIL 334 - add deadlines / etc. to calendar,2016-01-21T00:00:00.000Z
COMP 130 - find TA time,2016-01-18T00:00:00.000Z
PHIL 334 - ask teacher about missed class / syllabus / info,2016-01-19T00:00:00.000Z
ToDo - pick another class,2016-01-18T00:00:00.000Z
ToDo - fix piazza and canvas notifications,2016-01-18T00:00:00.000Z
ARTS 165 - read syllabus / catch up,2016-01-18T00:00:00.000Z
ANTH 200 - do module 2,2016-01-21T00:00:00.000Z
STAT 450 - meeting with Jake and Fred,2016-01-19T00:00:00.000Z
ToDo - emails,2016-01-18T00:00:00.000Z
ToDo - calendar,2016-01-18T00:00:00.000Z
STAT 450 - meeting with genevera,2016-02-02T00:00:00.000Z
STAT 450 - ecog lab meeting,2016-02-02T00:00:00.000Z
ToDo - unpack / settle in,2016-01-18T00:00:00.000Z
ToDo - pack / getting ready,2016-01-21T00:00:00.000Z
STAT 280 - read graders instructions,2016-01-18T00:00:00.000Z
ToDo - email express about missing order,2016-01-16T00:00:00.000Z
ToDo - pick up weed from Nicholas,2016-01-18T00:00:00.000Z
ToDo - emails and such,2016-01-15T00:00:00.000Z
STAT 450 - message jake about project,2016-01-14T00:00:00.000Z
STAT 450 - email decision to Genevera,2016-01-18T00:00:00.000Z
ToDo - pack for dallas trip,2016-01-14T00:00:00.000Z
ToDo - shower,2016-01-14T00:00:00.000Z
ToDo - poop,2016-01-14T00:00:00.000Z
ToDo - figure out plans about BF,2016-01-14T00:00:00.000Z
ANTH 200 - go over missed class materials,2016-01-18T00:00:00.000Z
ToDo - pay rent,2016-01-14T00:00:00.000Z
ANTH 200 - go over lecture slides (2/18),2016-02-18T00:00:00.000Z
COMP 130 - move office hours,2016-01-14T00:00:00.000Z
ToDo - phone interview with HBK,2016-01-20T00:00:00.000Z
ANTH 200 - do module 1,2016-01-14T00:00:00.000Z
ToDo - find another class,2016-01-14T00:00:00.000Z
ANTH 200 - enter deadlines / dates,2016-01-14T00:00:00.000Z
ANTH 200 - get into class on canvas,2016-01-14T00:00:00.000Z
ANTH 200 - get textbook,2016-01-14T00:00:00.000Z
ANTH 200 - scan syllabus for info,2016-01-14T00:00:00.000Z
COMP 427 - readings,2016-01-14T00:00:00.000Z
COMP 427 - email professor about questions,2016-01-14T00:00:00.000Z
COMP 427 - join class in VM,2016-01-19T00:00:00.000Z
STAT 450 - decide on committing to Jake's project,2016-01-16T00:00:00.000Z
ToDo - doctor's appointment,2016-01-27T00:00:00.000Z
COMP 427 - download stuff,2016-01-14T00:00:00.000Z
ANTH 200 - email professor to get info,2016-01-14T00:00:00.000Z
ANTH 200 - get into class,2016-01-14T00:00:00.000Z
COMP 427 - fill out online form,2016-01-14T00:00:00.000Z
COMP 427 - enter deadlines / syllabus info,2016-01-14T00:00:00.000Z
ToDo - find a way for taking / managing notes,2016-01-14T00:00:00.000Z
POLI 321- ask professor about syllabus / missed class,2016-01-14T00:00:00.000Z
COMP 130 - office hours,2016-02-23T00:00:00.000Z
COMP 130 - piazza post about cancelling office hours,2016-02-15T00:00:00.000Z
STAT - talk to Guerra about STAT O electives again,2016-01-27T00:00:00.000Z
STAT 450 - meeting with Genevera,2016-01-14T00:00:00.000Z
ToDo - two sigma reimbursements,2016-01-13T00:00:00.000Z
ToDo - fill in rest of daily life log,2016-01-13T00:00:00.000Z
STAT 450 - engineering & design poster showcase,2016-04-14T00:00:00.000Z
STAT 450 - practice poster presentation,2016-04-13T00:00:00.000Z
ToDo - fill out factset reimbursement sheet,2016-01-13T00:00:00.000Z
ToDo - factset reimbursements,2016-01-13T00:00:00.000Z
ToDo - update timesheets,2016-01-13T00:00:00.000Z
STAT 450 - work with Jake,2016-01-26T00:00:00.000Z
ToDo - call health center to set up PAP smear appointment,2016-01-14T00:00:00.000Z
ToDo - confirm trip to dallas plans for this weekend,2016-01-13T00:00:00.000Z
ToDo - reply to messages,2016-01-13T00:00:00.000Z
ToDo - format daily life log,2016-01-13T00:00:00.000Z
STAT 450 - enter deadlines into calendar,2016-01-13T00:00:00.000Z
STAT 450 - get approved for partners with Jake,2016-01-13T00:00:00.000Z
ToDo - edit / look at classes again,2016-01-13T00:00:00.000Z
ToDo - emails,2016-01-13T00:00:00.000Z
ToDo - calendar,2016-01-13T00:00:00.000Z
ToDo - get shit together / make tasks / plan,2016-01-13T00:00:00.000Z
ToDo - pick up chocolates from aunt,2016-01-12T00:00:00.000Z
ToDo - shower,2016-01-11T00:00:00.000Z
ToDo - unpack / settle back in,2016-01-11T00:00:00.000Z
ToDo - prepare for first day of school,2016-01-11T00:00:00.000Z
ToDo - calendar,2016-01-11T00:00:00.000Z
ToDo - phone call with Shape,2016-01-12T00:00:00.000Z
ToDo - shower,2016-01-08T00:00:00.000Z
ToDo - calendar,2016-01-08T00:00:00.000Z
ToDo - emails,2016-01-08T00:00:00.000Z
ToDo - emails about reimbursements,2016-01-07T00:00:00.000Z
ToDo - shower,2016-01-07T00:00:00.000Z
ToDo - poop,2016-01-07T00:00:00.000Z
ToDo - update daily life log,2016-01-07T00:00:00.000Z
ToDo - update daily life log,2016-01-06T00:00:00.000Z
ToDo - apply to jobs,2016-01-07T00:00:00.000Z
ToDo - buy water,2016-01-07T00:00:00.000Z
ToDo - get gas,2016-01-06T00:00:00.000Z
ToDo - get Sean's mail,2016-01-06T00:00:00.000Z
ToDo - make couch,2016-01-07T00:00:00.000Z
ToDo - finish Sean's laundry,2016-01-07T00:00:00.000Z
ToDo - return laundry baskets,2016-01-07T00:00:00.000Z
ToDo - throw away trash,2016-01-06T00:00:00.000Z
ToDo - pick up Sean's ambien prescription,2016-01-07T00:00:00.000Z
ToDo - organize Sean's mail,2016-01-07T00:00:00.000Z
ToDo - start Sean's laundry,2016-01-06T00:00:00.000Z
ToDo - calendar,2016-01-06T00:00:00.000Z
ToDo - calendar,2016-01-04T00:00:00.000Z
ToDo - emails,2016-01-07T00:00:00.000Z
ToDo - shower,2016-01-04T00:00:00.000Z
ToDo - poop,2016-01-04T00:00:00.000Z
ToDo - poop,2016-01-02T00:00:00.000Z
ToDo - set up life data log,2016-01-01T00:00:00.000Z
ToDo - emails,2016-01-01T00:00:00.000Z
ToDo - calendar,2016-01-01T00:00:00.000Z
ToDo - shower,2016-01-02T00:00:00.000Z
ToDo - poop,2016-01-01T00:00:00.000Z
ToDo - check in for flights,2015-12-31T00:00:00.000Z
ToDo - calendar,2015-12-31T00:00:00.000Z
ToDo - apply to jobs in dallas,2015-12-30T00:00:00.000Z
ToDo - email BNSF and Rockwell Collins recruiters,2015-12-30T00:00:00.000Z
ToDo - make waxing appointment,2015-12-30T00:00:00.000Z
ToDo - laundry,2015-12-31T00:00:00.000Z
ToDo - clean room,2015-12-31T00:00:00.000Z
ToDo - poop,2015-12-29T00:00:00.000Z
ToDo - calendar,2015-12-29T00:00:00.000Z
ToDo - shower,2015-12-29T00:00:00.000Z
ToDo - pack for skiing,2015-12-28T00:00:00.000Z
ToDo - calendar,2015-12-28T00:00:00.000Z
