timestamp,offset
1504309249,-300
1504302406,-300
1504294128,-300
1504216956,-300
1504200580,-300
1504195359,-300
1504191455,-300
1504133147,-300
1504120455,-300
1504118688,-300
1504105685,-300
1504054816,-300
1504054116,-300
1504019207,-300
1503972107,-300
1503971508,-300
1503962132,-300
1503932673,-300
1503880391,-300
1503880363,-300
1503875382,-300
1503875359,-300
1503875317,-300
1503862362,-300
1503862196,-300
1503857822,-300
1503784277,-300
1503782088,-300
1503781012,-300
1503778957,-300
1503777977,-300
1503775451,-300
1503705691,-300
1503700988,-300
1503671136,-300
1503628063,-300
1503624932,-300
1503623420,-300
1503623408,-300
1503616548,-300
1503607722,-300
1503599171,-300
1503595838,-300
1503587317,-300
1503546002,-300
1503540093,-300
1503532059,-300
1503511246,-300
1503507832,-300
1503500846,-300
1503438661,-300
1503414657,-300
1503355542,-300
1503351377,-300
1503327967,-300
1503287361,-300
1503286203,-300
1503277765,-300
1503274728,-300
1503267758,-300
1503263624,-300
1503249007,-300
1503185683,-300
1503182862,-300
1503179454,-300
1503176706,-300
1503172084,-300
1503169863,-300
1503167503,-300
1503167387,-300
1503094107,-300
1503079584,-300
1503075456,-300
1503068659,-300
1503013175,-300
1502982414,-300
1502925275,-300
1502920833,-300
1502918191,-300
1502915489,-300
1502915465,-300
1502914028,-300
1502845201,-300
1502843654,-300
1502837350,-300
1502835828,-300
1502809513,-300
1502760866,-300
1502759062,-300
1502749322,-300
1502749136,-300
1502723028,-300
1502660898,-300
1502657365,-300
1502609560,-300
1502608382,-300
1502608191,-300
1502600714,-300
1502518747,-300
1502511019,-300
1502509478,-300
1502508375,-300
1502498966,-300
1502498043,-300
1502498011,-300
1502488851,-300
1502476051,-300
1502475044,-300
1502471139,-300
1502464416,-300
1502412697,-300
1502402210,-300
1502401872,-300
1502395705,-300
1502391841,-300
1502387679,-300
1502384340,-300
1502377573,-300
1502328506,-300
1502327070,-300
1502321641,-300
1502320269,-300
1502319739,-300
1502316449,-300
1502291238,-300
1502231014,-300
1502208390,-300
1502197755,-300
1502155171,-300
1502130177,-300
1502128795,-300
1502122497,-300
1502115453,-300
1502064986,-300
1502062461,-300
1502058789,-300
1501984010,-300
1501974712,-300
1501971045,-300
1501964748,-300
1501964411,-300
1501964071,-300
1501961123,-300
1501959693,-300
1501897985,-300
1501890901,-300
1501887307,-300
1501884037,-300
1501858962,-300
1501802991,-300
1501797500,-300
1501772206,-300
1501729226,-300
1501729215,-300
1501710834,-300
1501686122,-300
1501629494,-300
1501553772,-300
1501553324,-300
1501550590,-300
1501549255,-300
1501540704,-300
1501513050,-300
1501459007,-300
1501458339,-300
1501362108,-300
1501358378,-300
1501273806,-300
1501217138,-300
1501213656,-300
1501209431,-300
1501204262,-300
1501194140,-300
1501167849,-300
1501099263,-300
1501081372,-300
1501038703,-300
1501033870,-300
1501031130,-300
1501021842,-300
1501011691,-300
1500950114,-300
1500856240,-300
1500855202,-300
1500837567,-300
1500834617,-300
1500832073,-300
1500770606,-300
1500767988,-300
1500761290,-300
1500756237,-300
1500703700,-300
1500702168,-300
1500693905,-300
1500683756,-300
1500676187,-300
1500649991,-300
1500504716,-300
1500484074,-300
